Element Name,WhileCount,ConditionCount,RedundantCount,IfCount,ExceptionCount,ForeachCount,PrintCount,TotalAssertCount,SwitchCount,MysteryCount,ForCount,VerboseCount,ResourceOptimismCount,ThreadSleepCount,BadAssertCount,SensitiveCount,MagicNumberCount,Assertion Roulette,Eager Test,Mystery Guest,Sleepy Test,Unknown Test,Redundant Assertion,Dependent Test,Magic Number Test,Conditional Test Logic,EmptyTest,General Fixture,Sensitive Equality,Verbose Test,IgnoredTest,Resource Optimism,Duplicate Assert,Exception Catching Throwing,Print Statement,Lazy Test
com.sap.managementconsole.soap.axis.sapcontrol.DirEntryTest.test00,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,true
com.sap.managementconsole.soap.axis.sapcontrol.DirEntryTest.test01,0,0,0,0,1,0,0,3,0,0,0,0,0,0,3,0,0,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,true
com.sap.managementconsole.soap.axis.sapcontrol.DirEntryTest.test02,0,0,0,0,1,0,0,2,0,0,0,0,0,0,2,0,0,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,true
com.sap.managementconsole.soap.axis.sapcontrol.DirEntryTest.test03,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,true
com.sap.managementconsole.soap.axis.sapcontrol.DirEntryTest.test04,0,0,0,0,1,0,0,2,0,0,0,0,0,0,2,0,0,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,true
com.sap.managementconsole.soap.axis.sapcontrol.DirEntryTest.test05,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,true
com.sap.managementconsole.soap.axis.sapcontrol.DirEntryTest.test06,0,0,0,0,1,0,0,2,0,0,0,0,0,0,2,0,0,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,true
com.sap.managementconsole.soap.axis.sapcontrol.DirEntryTest.test07,0,0,0,0,1,0,0,2,0,0,0,0,0,0,2,0,0,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,true
com.sap.managementconsole.soap.axis.sapcontrol.DirEntryTest.test08,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,true
com.sap.managementconsole.soap.axis.sapcontrol.DirEntryTest.test09,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,true
