projectName;name;pathFile;productionFile;junitVersion;loc;qtdMethods;testSmellName;testSmellMethod;testSmellLineBegin;testSmellLineEnd
aux2;DirEntryTest;C:\Users\maxim\.jnose_projects\aux2\arquivos\G01\101_netweaver\evosuite-tests\com\sap\managementconsole\soap\axis\sapcontrol\DirEntry_ESTest.java;C:\Users\maxim\.jnose_projects\aux2\arquivos\G01\101_netweaver\evosuite-tests\com\sap\managementconsole\soap\axis\sapcontrol\DirEntry.java;JUnit4;237;26;Lazy Test;test25, test15, test14, test10, test03, test02, test01, test00;235, 157, 147, 105, 50, 42, 34, 26;235, 157, 147, 105, 50, 42, 34, 26
aux2;DirEntryTest;C:\Users\maxim\.jnose_projects\aux2\arquivos\G01\101_netweaver\evosuite-tests\com\sap\managementconsole\soap\axis\sapcontrol\DirEntry_ESTest.java;C:\Users\maxim\.jnose_projects\aux2\arquivos\G01\101_netweaver\evosuite-tests\com\sap\managementconsole\soap\axis\sapcontrol\DirEntry.java;JUnit4;237;26;Lazy Test;test25, test24, test23, test22, test18, test17, test16, test15, test14, test13, test12, test11, test10, test09, test08, test07, test06, test05, test04, test03, test02, test01, test00;232, 231, 224, 216, 214, 207, 178, 171, 164, 163, 154, 153, 144, 143, 133, 131, 121, 120, 113, 104, 97, 90, 80, 72, 64, 56, 49, 41, 32, 31, 24;232, 231, 224, 216, 214, 207, 178, 171, 164, 163, 154, 153, 144, 143, 133, 131, 121, 120, 113, 104, 97, 90, 80, 72, 64, 56, 49, 41, 32, 31, 24
aux2;DirEntryTest;C:\Users\maxim\.jnose_projects\aux2\arquivos\G01\101_netweaver\evosuite-tests\com\sap\managementconsole\soap\axis\sapcontrol\DirEntry_ESTest.java;C:\Users\maxim\.jnose_projects\aux2\arquivos\G01\101_netweaver\evosuite-tests\com\sap\managementconsole\soap\axis\sapcontrol\DirEntry.java;JUnit4;237;26;Lazy Test;test24, test13, test10, test09, test07, test06, test04, test02;226, 135, 108, 98, 84, 81, 73, 58, 43;226, 135, 108, 98, 84, 81, 73, 58, 43
aux2;DirEntryTest;C:\Users\maxim\.jnose_projects\aux2\arquivos\G01\101_netweaver\evosuite-tests\com\sap\managementconsole\soap\axis\sapcontrol\DirEntry_ESTest.java;C:\Users\maxim\.jnose_projects\aux2\arquivos\G01\101_netweaver\evosuite-tests\com\sap\managementconsole\soap\axis\sapcontrol\DirEntry.java;JUnit4;237;26;Lazy Test;test22, test11, test00;209, 115, 25;209, 115, 25
aux2;DirEntryTest;C:\Users\maxim\.jnose_projects\aux2\arquivos\G01\101_netweaver\evosuite-tests\com\sap\managementconsole\soap\axis\sapcontrol\DirEntry_ESTest.java;C:\Users\maxim\.jnose_projects\aux2\arquivos\G01\101_netweaver\evosuite-tests\com\sap\managementconsole\soap\axis\sapcontrol\DirEntry.java;JUnit4;237;26;Lazy Test;test25, test23, test18, test17, test16, test15, test14, test13, test12, test01;233, 219, 217, 179, 172, 165, 156, 155, 148, 145, 138, 134, 125, 122, 35, 33;233, 219, 217, 179, 172, 165, 156, 155, 148, 145, 138, 134, 125, 122, 35, 33
aux2;DirEntryTest;C:\Users\maxim\.jnose_projects\aux2\arquivos\G01\101_netweaver\evosuite-tests\com\sap\managementconsole\soap\axis\sapcontrol\DirEntry_ESTest.java;C:\Users\maxim\.jnose_projects\aux2\arquivos\G01\101_netweaver\evosuite-tests\com\sap\managementconsole\soap\axis\sapcontrol\DirEntry.java;JUnit4;237;26;Lazy Test;test22, test12, test05;208, 124, 65;208, 124, 65
aux2;DirEntryTest;C:\Users\maxim\.jnose_projects\aux2\arquivos\G01\101_netweaver\evosuite-tests\com\sap\managementconsole\soap\axis\sapcontrol\DirEntry_ESTest.java;C:\Users\maxim\.jnose_projects\aux2\arquivos\G01\101_netweaver\evosuite-tests\com\sap\managementconsole\soap\axis\sapcontrol\DirEntry.java;JUnit4;237;26;Lazy Test;test13, test10, test08, test07, test06, test05, test04, test02;136, 106, 91, 85, 75, 66, 57, 44;136, 106, 91, 85, 75, 66, 57, 44
aux2;DirEntryTest;C:\Users\maxim\.jnose_projects\aux2\arquivos\G01\101_netweaver\evosuite-tests\com\sap\managementconsole\soap\axis\sapcontrol\DirEntry_ESTest.java;C:\Users\maxim\.jnose_projects\aux2\arquivos\G01\101_netweaver\evosuite-tests\com\sap\managementconsole\soap\axis\sapcontrol\DirEntry.java;JUnit4;237;26;Lazy Test;test23, test13, test11, test07;215, 132, 114, 83;215, 132, 114, 83
aux2;DirEntryTest;C:\Users\maxim\.jnose_projects\aux2\arquivos\G01\101_netweaver\evosuite-tests\com\sap\managementconsole\soap\axis\sapcontrol\DirEntry_ESTest.java;C:\Users\maxim\.jnose_projects\aux2\arquivos\G01\101_netweaver\evosuite-tests\com\sap\managementconsole\soap\axis\sapcontrol\DirEntry.java;JUnit4;237;26;Eager Test;test00;24, 25, 26;24, 25, 26
aux2;DirEntryTest;C:\Users\maxim\.jnose_projects\aux2\arquivos\G01\101_netweaver\evosuite-tests\com\sap\managementconsole\soap\axis\sapcontrol\DirEntry_ESTest.java;C:\Users\maxim\.jnose_projects\aux2\arquivos\G01\101_netweaver\evosuite-tests\com\sap\managementconsole\soap\axis\sapcontrol\DirEntry.java;JUnit4;237;26;Eager Test;test01;31, 32, 33, 34, 35;31, 32, 33, 34, 35
aux2;DirEntryTest;C:\Users\maxim\.jnose_projects\aux2\arquivos\G01\101_netweaver\evosuite-tests\com\sap\managementconsole\soap\axis\sapcontrol\DirEntry_ESTest.java;C:\Users\maxim\.jnose_projects\aux2\arquivos\G01\101_netweaver\evosuite-tests\com\sap\managementconsole\soap\axis\sapcontrol\DirEntry.java;JUnit4;237;26;Eager Test;test02;41, 42, 43, 44;41, 42, 43, 44
